  Title : 700nm1
  Version : 2 972 M
  Revision : 12 bits ADC
  Date : 2020-11-16
  Time : 17:27:24
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1 Decay  ( Time[ns]  No_of_photons )
9.857689 2
9.863797 1
9.869904 3
9.876012 2
9.882119 1
9.888227 2
9.894335 3
9.900442 2
9.906550 4
9.912657 4
9.918765 4
9.924873 3
9.930980 0
9.937088 5
9.943196 2
9.949303 1
9.955411 3
9.961518 1
9.967626 5
9.973734 5
9.979841 4
9.985949 2
9.992056 3
9.998164 1
10.004272 4
10.010379 4
10.016487 4
10.022595 2
10.028702 4
10.034810 5
10.040917 3
10.047025 5
10.053133 1
10.059240 2
10.065348 2
10.071455 7
10.077563 3
10.083671 5
10.089778 4
10.095886 4
10.101994 3
10.108101 5
10.114209 3
10.120316 2
10.126424 6
10.132532 1
10.138639 4
10.144747 3
10.150854 5
10.156962 1
10.163070 4
10.169177 3
10.175285 3
10.181393 2
10.187500 2
10.193608 1
10.199715 4
10.205823 1
10.211931 4
10.218038 0
10.224146 3
10.230253 6
10.236361 4
10.242469 0
10.248576 2
10.254684 2
10.260791 3
10.266899 3
10.273007 2
10.279114 3
10.285222 3
10.291330 3
10.297437 4
10.303545 3
10.309652 2
10.315760 7
10.321868 3
10.327975 3
10.334083 0
10.340190 5
10.346298 3
10.352406 0
10.358513 1
10.364621 1
10.370729 4
10.376836 2
10.382944 2
10.389051 2
10.395159 5
10.401267 2
10.407374 5
10.413482 4
10.419589 3
10.425697 1
10.431805 3
10.437912 1
10.444020 4
10.450128 0
10.456235 4
10.462343 4
10.468450 5
10.474558 1
10.480666 5
10.486773 3
10.492881 1
10.498988 5
10.505096 2
10.511204 1
10.517311 2
10.523419 3
10.529527 3
10.535634 6
10.541742 7
10.547849 4
10.553957 4
10.560065 2
10.566172 3
10.572280 3
10.578387 1
10.584495 4
10.590603 5
10.596710 2
10.602818 5
10.608925 4
10.615033 4
10.621141 5
10.627248 5
10.633356 2
10.639464 7
10.645571 4
10.651679 2
10.657786 3
10.663894 4
10.670002 2
10.676109 3
10.682217 5
10.688324 2
10.694432 2
10.700540 1
10.706647 1
10.712755 2
10.718863 6
10.724970 2
10.731078 3
10.737185 4
10.743293 3
10.749401 0
10.755508 2
10.761616 1
10.767723 3
10.773831 2
10.779939 4
10.786046 5
10.792154 5
10.798262 2
10.804369 2
10.810477 1
10.816584 2
10.822692 2
10.828800 3
10.834907 2
10.841015 2
10.847122 3
10.853230 5
10.859338 4
10.865445 0
10.871553 5
10.877660 1
10.883768 3
10.889876 8
10.895983 1
10.902091 3
10.908199 2
10.914306 4
10.920414 2
10.926521 4
10.932629 3
10.938737 4
10.944844 1
10.950952 3
10.957059 5
10.963167 1
10.969275 3
10.975382 2
10.981490 2
10.987598 4
10.993705 1
10.999813 2
11.005920 1
11.012028 1
11.018136 8
11.024243 3
11.030351 4
11.036458 7
11.042566 3
11.048674 6
11.054781 4
11.060889 2
11.066997 2
11.073104 2
11.079212 6
11.085319 2
11.091427 5
